Error during initialization.;Fehler bei der Initialisierung
Cannot apply config to task '%s'. Source task doesn't contain any settings;Konfiguration kann nicht auf Aufgabe '%s' angewandt werden. Quellaufgabe enthält keine Einstellungen.
Cannot apply config to task '%s'. Cannot find task with this name;Konfiguration kann nicht auf Aufgabe '%s' angewandt werden. Aufgabe mit diesem Namen nicht gefunden.
Remote Access settings saved.;Fernzugriffs-Einstellungen gespeichert.
SMTP settings saved.;SMTP-Einstellungen gespeichert.
Please specify your email address.;Bitte gib deine E-Mail-Adresse an.
Add new timeframe;Neuen Timeframe hinzufügen
Seconds;Sekunden
Minutes;Minuten
Hours;Stunden
Days;Tage
Unknown timeframe prefix '%s';Unbekanntes Timeframe-Prefix '%s'
What to parametrize;Was parametisieren?
Specify which of the available parameters should be put into variables;Gib an, für welche der verfügbaren Parameter Variablen generiert werden sollen
Exit params (SL, PT,...) only used;Ausstiegsparameter (SL, PT,...) nur verwendete
Boolean params;Bool'sche Parameter
Other params;Andere Parameter
Exit params (SL, PT,...) also unused;Ausstiegsparameter (SL, PT,...) auch unverwendete
Custom Project Notification;Benutzerdefinierte Projektbenachrichtigung
Project continues with the next task.;Projekt fährt mit nächster Aufgabe fort.
Project was paused and it is waiting for user action - you have to resume it to continue.;Projekt wurde pausiert und wartet auf Benutzeraktion - du musst es manuell fortsetzen.
Go to project;Gehe zu Projekt
Turn off notification sounds;Benachrichtigungstöne abschalten
Global...;Global...
Performance...;Leistung...
Benchmark...;Messung...
Remote access...;Fernzugriff...
SMTP server...;SMTP-Server...
Language;Sprache
Zoom;Zoom
SQX beta version page;SQX Betaversion Homepage
Help center;Helpcenter
Articles;Artikel
Support;Unterstützung
About;Über
Exit;Beenden
Performance;Leistung
Performance - total cores available;Leistung - Verfügbare Prozessorkerne
Single threaded - program runs tasks sequentially, one after another.;Einzelthread - Programm bearbeitet Aufgaben sequenziell, eine nach der anderen.
This is slower, but consumes less memory.;Dies ist langsamer, verbraucht aber weniger Arbeitsspeicher.
Custom number of cores;Benutzerdefinierte Anzahl Prozessorkerne
Use thread affinity;Thread-Affinität verwenden
Thread affinity means that every computing threads is bound to a fixed CPU core.;Thread-Affinität bedeutet, dass jeder Berechnungs-Thread an einen bestimmten Prozessorkern gebunden ist.
This should prevent thread context switching and improve the performance.;Dies sollte Threadkontext-Sprünge verhindern und die Leistung verbessern.
The real results may wary depending on your configuration.;Die realen Ergebnisse können abhängig von deiner Konfiguration abweichen.
Memory and disk space;Arbeitsspeicher und Festplattenkapazität
Maximum memory used;Maximal verwendeter Arbeitsspeicher
GB;GB
Don't store unfilled pending orders (Recommended);Nicht ausgelöste Pending Orders nicht speichern (Empfohlen)
It is usually not necessary to keep unfilled pending orders(orders that expired;Es ist normalerweise nicht notwendig, nicht ausgelöste (abgelaufene) Pending Orders zu behalten.
Use offheap memory;Offheap-Speicher verwenden
Off-heap memory bypasses Java memory management for some allocated objects.;Offheap-Speicher umgeht die Java-Speicherverwaltung für einige alloziierte Objekte.
It results in less frequent use of Java garbage collector, which might make program faster.;Hierdurch wird der Java Garbage Collector seltener verwendet, wodurch das Prgramm eventuell schneller wird.
Actual results may vary, it depends a lot on your configuration.;Tatsäcliche Ergebnisse können abweichen, sie hängen stark von deiner Konfiguration ab.
Using offheap memory could sometimes cause Java crashes - if you experience crashes turn it off.;Verwendung des Offheap-Speichers kann möglicherweise Java-Abstürze verursachen - wenn dies geschieht, schalte die Funktion ab.
Display;Anzeige
Accelerate internal browser using GPU;Internen browser mittels GPU beschleunigen
You have to restart the program to apply the settings.;Du musst zum Übernehmen der Einstellungen das Program neustarten.
Remote access;Fernzugriff
Allow remote access;Fernzugriff erlauben
By checking this you'll allow access to your StrategyQuant remotely from browser on a given URL address and port.;Hierdurch erlaubst du Zugriff auf dein StrategyQuant von einem entfernten Browser über eine gegebene URL-Adresse und Port
Of course, StrategyQuant must be running in order to access it.;Natürlich muss StrategyQuant laufen, um darauf zuzugreifen.
URL to access the system;URL zum Systemzugriff
Require password;Passwort anfordern
Password;Passwort
Secure connection;Gesicherte Verbindung
Certificate not installed;Zertifikat nicht installiert
Install;Installieren
SMTP;SMTP
SMTP Server;SMTP-Server
Port;Port
Use secure (SSL) connection;Gesicherte (SSL) Verbindung verwenden
Username;Benutzername
Email from;E-Mail von
Send test email;Test-E-Mail senden
Email;E-Mail
Send;Senden
Snippets error;Snippets-Fehler
Compilation of Snippets during program start failed. Program uses the old version of snippets, which may not be relevant.;Kompilierung der Snippets während des Programmstarts fehlgeschlagen. Programm verwendet veraltete Version der Snippets, welche möglicherweise nicht relevant sind.
Please check what is wrong in Code Editor and recompile the Snippets.;Bitte überprüfe den Fehler im Code-Editor und rekompiliere die Snippets.
Go to Code Editor;Gehe zum Code Editor
Start build;Starte Generierung
Build configuration was successfully loaded.;Generierungskonfiguration erfolgreich geladen.
Do you want to start build?;Möchtest du die Generierung starten?
StrategyQuant;StrategyQuant
Problem with license? Click here.;Problem mit Lizenz? Hier klicken.
Enter license number:;Lizenznummer eingeben:
Verify license;Lizenz überprüfen
or;oder
Purchase license;Lizenz erwerben
SQ Home page;SQ Homepage
Copyright StrategyQuant 2017. All rights reserved.;Copyright StrategyQuant 2017. Alle Rechte vorbehalten.
Hardware ID:;Hardware ID:
Enter the remote access password;Fernzugriffs-Passwort eingeben
Enter your password;Passwort eingeben
Submit;Absenden
Unauthorized access. Remote access is disabled.;Unauthorisierter Zugriff. Fernzugriff deaktiviert.
ex;ex
No result chosen - Double-click on result on databank to see the details;Kein Ergebnis ausgewählt - Doppelklicke auf ein Ergebnis in der Datenbank, um die Details zu sehen
entry blocks;Einstiegsblöcke
exit types;Ausstiegstypen
Cross checks disabled;Cross-Checks deaktiviert
No Cross checks configured;Keine Cross-Checks konfiguriert
No data defined;Keine Daten definiert
Delete from %s;Löschen von %s
Copy from %s to %s;Kopieren von %s nach %s
Move from %s to %s;Verschieben von %s nach %s
with %d conditions;mit %d Bedingungen
Go to %s with %d conditions;Gehe zu %s mit %d Bedingungen
Send email to %s;E-Mail senden an %s
Show popup;Popup anzeigen
Wait for User Action;Auf Benutzeraktion warten
Simple;Einfach
Walk - Forward;Walk - Forward
Walk - Forward matrix;Walk - Forward - Matrix
Exit at end of day<br/>;Ausstieg am Tagesende<br/>
Exit on Friday<br/>;Ausstieg am Freitag<br/>
Limit time from %s to %s<br/>;Zeit begrenzen von %s bis %s<br/>
Max trades per day: %d<br/>;Max. Trades pro Tag: %d<br/>
No trading limits;Keine Trading-Begrenzungen
Fitness: %s;Eignung: %s
Cross check - Retest on additional markets;Cross-Check - Retest auf zusätzlichen Märkten
Cross check - Monte Carlo retest;Cross-Check - Monte Carlo Retest
Cross check - Monte Carlo manipulation;Cross-Check - Monte Carlo Manipulation
Save best %d strategies;Die besten %d Strategien speichern
Unknown settings;Unbekannte Einstellungen
SL/PT not required;SL/PT nicht erforderlich
SL;SL
PT required;PT erforderlich
ATR;ATR
or fixed pips;oder feste Pips
fixed pips;feste Pips
Backtest options;Backtest-Optionen
Money Management;Money Management
Ranking & Filtering options;Ranking- & Filterungs-Optionen
CrossChecks;Cross-Checks
Filtering options;Filterungsoptionen
Go to task options;Gehe zu Aufgabenoptionen
Go to task;Gehe zur Aufgabe
Notification options;Benachrichtigungsoptionen
Optimization options;Optimierungsoptionen
No Strategy selected.;Keine Strategie ausgewählt.
%d tests with %d simulations;%d Tests mit %d Simulationen
Retest on:;Erneut testen auf:
%d more;%d mehr
Higher precision: %s;Erhöhte Präzision: %s
optimize Periods and Exit types;Perioden und Ausstiegstypen optimieren
optimize Periods;Perioden optimieren
optimize Exit types;Ausstiegstypen optimieren
Out of sample: %f - %f %, runs: %f - %f;Out-of-sample: %f - %f %, Durchläufe: %f - %f
In sample: %d - %d days, Out of sample: %d - %d days;In Sample: %d - %d Tage, Out-of-sample: %d - %d Tage
OOS: %f - %f %, runs: %f - %f;OOS: %f - %f %, Durchläufe: %f - %f
IS: %d - %d days, OOS: %d - %d days;IS: %d - %d Tage, OOS: %d - %d Tage
Out of sample: %f %, runs: %d;Out-of-sample: %f %, Durchläufe: %d
In sample: %d days, Out of sample: %d days;InSsample: %d Tage, Out-of-sample: %d Tage
OOS: %f %, runs: %d;OOS: %f %, Durchläufe: %d
IS: %d days, OOS: %d days;IS: %d Tage, OOS: %d Tage
%d conditions;%d Bedingungen
App XML error;Anwendungs XML-Fehler
XML element 'Settings' not found;XML-Element 'Einstellungen' nicht gefunden
Task XML error;Aufgaben XML-Fehler
Corrupted XML - element 'Settings' not found;Fehlerhaftes XML - Element 'Einstellungen' nicht gefunden
default value;Standardwert
Number of results in databank;Anzahl Ergebnisse in Datenbank
is bigger;ist größer
is bigger or equal;ist größer oder gleich
is equal;ist gleich
is lower;ist kleiner
is lower or equal;ist kleiner oder gleich
Select file to load;Datei zum Laden auswählen
Loading strategy file;Lade Strategiedatei
You are going to load a new strategy to Optimizer.<br>Do you want to delete all existing results in the Optimizer databank?;Du bist dabei, eine neue Strategie in den Optimierer zu laden.<br>Möchtest du alle vorhandenen Ergebnisse in der Optimierungsdatenbank löschen?
Config XML error;Konfigurations XML-Fehler
Select the strategy to optimize and type of optimization;Wähle die Strategie zum Optimieren und den Optimierungstyp aus
Exit params used;verwendete Ausstiegsparameter
Exit params unused;Nicht verwendete Ausstiegsparameter
Booleans;Bool'sche Ausdrücke
Strategies that open at market price, they use almost all availablle signals and can produce a variety of trading approaches;Strategien, die zum Marktpreis eröffnen - sie nutzen fast alle verfügbaren Signale und können eine Vielzahl an Tradingmöglichkeiten produzieren
Trend following (breakout) strategies that use stop orders to catch breakouts and go with the trend;Trendfolge- (Breakout-) Strategien, die Stop-Orders verwenden, um Breakouts abzufangen und mit dem Trend zu gehen
Strategies that are exploiting reversal of price from extreme values to mean;Strategien, die die Rückkehr des Preises von Extremwerten ausnutzen, um
Strategies using fuzzy logic rules - fuzzy rule has multiple conditions, but only a defined % of them must be valid in order for rule to be triggered;Strategien, die Fuzzy-Logic-Regeln verwenden - Fuzzy Regeln haben mehrere Bedingungen, aber nur ein definierter Prozentsatz davon muss gültig sein, damit die Regel angewandt wird
Daily strategies that place high emphasis on their robustness in multiple markets;Daytrading-Strategien, die großen Wert auf Robustheit in mehreren Märkten legen
Custom build settings are used.;Benutzerdefinierte Generierungseinstellungen werden verwendet..
Choose one of the types above to apply standard settings.;Wähle einen der obenstehenden Typen, um die Standardeinstellungen anzuwenden.
Order types;Orderarten
Weight;Gewichtung
No order types defined.;Keine Orderarten definiert.
Exit types;Ausstiegsarten
Required;Erforderlich
No exit types defined.;Keine Ausstiegsarten definiert.
Signals;Signale
No signals defined.;Keine Signale definiert.
All;Alle
Reset to default;Auf Standard zurücksetzen
Selected block has no parameters;Ausgewählter Block hat keine Parameter
Cannot add random blocks - only %d blocks left unused;Kann keine Zufallsblöcke hinzufügen - nur %d nicht verwendete Blöcke übrig
Saving settings failed. Block '%s' not found in the grid.;Speichern der Einstellungen fehlgeschlagen. Block '%s' nicht im Grid gefunden.
Random generation;Zufallsgenerierung
Genetic evolution;Genetische Evolution
%d generations max / %d islands / %d per island;%d Generationen max. / %d Inseln / %d pro Insel
